CO_ENTIDADE,NO_ENTIDADE,NO_MUNICIPIO,TP_DEPENDENCIA,TP_LOCALIZACAO,QT_DOC_INF,QT_MAT_INF,QT_TUR_INF
32025700,EMEF ARREPENDIDO,Afonso Cláudio,3,2,0.0,0.0,0.0
32025785,EMEIEFTI FORTALEZA,Afonso Cláudio,3,2,5.0,11.0,1.0
32025815,CMEI SEBASTIAO PEREIRA DE PAULA,Afonso Cláudio,3,1,10.0,160.0,10.0
32025858,EMEF AUGUSTA LAMAS DAVILA,Afonso Cláudio,3,1,0.0,0.0,0.0
32025866,EMEF IDOLINO DA FONSECA LAMAS,Afonso Cláudio,3,1,0.0,0.0,0.0
32025882,EM SAO VICENTE DE PAULA,Afonso Cláudio,3,1,0.0,0.0,0.0
32025904,EMEF HILDA CORREA LEMOS,Afonso Cláudio,3,1,0.0,0.0,0.0
32025920,CEEFMTI AFONSO CLAUDIO,Afonso Cláudio,2,1,0.0,0.0,0.0
32026056,EMEIEF FAZENDA JULIO LITTIG,Afonso Cláudio,3,2,3.0,11.0,1.0
32026307,CMEI O SABIDINHO FRANCISCO COSTA,Afonso Cláudio,3,1,10.0,163.0,10.0
32026838,EMEIEF PATRIMONIO DOS GONCALVES,Afonso Cláudio,3,2,2.0,11.0,1.0
32062214,CAEE MIGUEL GOMES - APAE,Afonso Cláudio,4,1,0.0,0.0,0.0
32062532,EMEF JOSE JORGE HADDAD,Afonso Cláudio,3,1,0.0,0.0,0.0
32062575,EMEIEF ABRAHAO SALEME,Afonso Cláudio,3,1,2.0,15.0,1.0
32069111,EMEIEF AGRICOLA,Afonso Cláudio,3,2,2.0,13.0,1.0
32069308,CMEI JAIR GIESTAS,Afonso Cláudio,3,1,10.0,147.0,9.0
32076843,CMEI AMAURY GOMES,Afonso Cláudio,3,1,8.0,107.0,8.0
32077327,CMEI ROSINELMA BATISTA MOREIRA,Afonso Cláudio,3,1,15.0,249.0,16.0
32081189,ASSOCIACAO PRO CASA DO MENINO,Afonso Cláudio,4,1,0.0,0.0,0.0
32082037,EEEFM JOSE CUPERTINO,Afonso Cláudio,2,1,0.0,0.0,0.0
32027443,EM ALTO GUANDU,Afonso Cláudio,3,2,0.0,0.0,0.0
32027451,EMEF ALTO TABATINGA,Afonso Cláudio,3,2,0.0,0.0,0.0
32027567,EEEFM MARIA DE ABREU ALVIM,Afonso Cláudio,2,1,0.0,0.0,0.0
32077580,CMEI DIOCLEZIO TOSTA DAS NEVES,Afonso Cláudio,3,1,11.0,118.0,18.0
32026927,EMEIEF DUAS PEDRAS,Afonso Cláudio,3,2,2.0,13.0,1.0
32027729,EMEIEF FRANZ CARLOS JOAO LEMKE,Afonso Cláudio,3,2,6.0,49.0,3.0
32027788,EMEIEF ARCANJO TONOLI SOBRINHO,Afonso Cláudio,3,2,3.0,10.0,1.0
32080727,EEEM MATA FRIA,Afonso Cláudio,2,2,0.0,0.0,0.0
32027095,EMEIEFTI FAZENDA HENRIQUE ZAMBOM,Afonso Cláudio,3,2,4.0,26.0,2.0
32027150,EM SANTA TEREZINHA,Afonso Cláudio,3,2,0.0,0.0,0.0
32027206,EEEFM JOSE ROBERTO CHRISTO,Afonso Cláudio,2,1,0.0,0.0,0.0
32027249,EM ALTO RIO DA COBRA,Afonso Cláudio,3,2,0.0,0.0,0.0
32027389,CMEI JOVELINO AMBROZIM,Afonso Cláudio,3,1,12.0,94.0,11.0
32027540,EEEFM JOSE GIESTAS,Afonso Cláudio,2,1,0.0,0.0,0.0
32079427,CMEI ILMA HENRIQUES VIEIRA,Afonso Cláudio,3,1,12.0,87.0,15.0
32025793,EMEIEF GUMERCINDO LACERDA,Afonso Cláudio,3,1,1.0,22.0,1.0
32025840,EM VARGEM GRANDE DA SEDE,Afonso Cláudio,3,2,0.0,0.0,0.0
32027460,EMEF FAZENDA SANTO ANTONIO,Afonso Cláudio,3,2,0.0,0.0,0.0
32027508,EMEIEF CUSTODIO LOPES DA ROCHA,Afonso Cláudio,3,2,3.0,14.0,1.0
32027613,EMEF SAO LUIZ DE BOA SORTE,Afonso Cláudio,3,2,0.0,0.0,0.0
32062044,EM VARGEDO,Afonso Cláudio,3,2,0.0,0.0,0.0
32027753,EEEFM ELVIRA BARROS,Afonso Cláudio,2,1,0.0,0.0,0.0
32027770,EM AGUAS FORMOSAS,Afonso Cláudio,3,2,0.0,0.0,0.0
32027796,EMEF ALTO SANTA JOANA,Afonso Cláudio,3,2,0.0,0.0,0.0
32027818,EMEF FAZENDA CARLOS HACKBART,Afonso Cláudio,3,2,0.0,0.0,0.0
32027893,CMEI NESTOR PINTO DE AGUIAR,Afonso Cláudio,3,1,14.0,118.0,14.0
32004966,EMEIEF BARRA DA JABUTICABA,Águia Branca,3,2,5.0,40.0,2.0
32005032,EP MUL FAZENDA CORTELETTI,Águia Branca,3,2,0.0,0.0,0.0
32005067,CEIER DE AGUIA BRANCA,Águia Branca,2,2,0.0,0.0,0.0
32005091,ESCOLA MUNICIPAL DE EDUCACAO INFANTIL E ENSINO FUNDAMENTAL PEDRA TORTA,Águia Branca,3,2,5.0,25.0,2.0
32005105,EEEFM PROFESSORA ANA MARIA CARLETTI QUIUQUI,Águia Branca,2,1,0.0,0.0,0.0
32005202,ESCOLA UNIDOCENTE CORREGO DAS FLORES,Águia Branca,3,2,0.0,0.0,0.0
32005210,EU CORREGO DAS PEDRAS,Águia Branca,3,2,0.0,0.0,0.0
32005229,ESCOLA MUNICIPAL DE EDUCACAO INFANTIL E ENSINO FUNDAMENTAL CORREGO DO CAFE,Águia Branca,3,2,5.0,38.0,2.0
32005377,EU MUL LADISLAU MATUCHOCO,Águia Branca,3,2,0.0,0.0,0.0
32005393,EU SANTA CRUZ,Águia Branca,3,2,0.0,0.0,0.0
32005431,PE MUL PEDACINHO DO CEU,Águia Branca,3,1,0.0,0.0,0.0
32064098,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL PADRE SERGIO BANZZA,Águia Branca,3,1,0.0,0.0,0.0
32064900,ESCOLA MUNICIPAL COMUNITARIA AGROECOLOGICA JOAO QUIUQUI,Águia Branca,3,2,4.0,20.0,1.0
32066260,CAEE BEM VIVER-PESTALOZZI,Águia Branca,4,1,0.0,0.0,0.0
32071590,CRECHE MUL URSINHOS CARINHOSOS,Águia Branca,3,1,0.0,0.0,0.0
32082282,EMEIEF CATARINA ROSSINI BRUNI,Águia Branca,3,2,5.0,25.0,2.0
32101813,CMEI PROFESSORA HELENISA MOTA DO PRADO,Águia Branca,3,1,32.0,281.0,21.0
32005040,EP MUL FAZENDA PARAISO,Águia Branca,3,2,0.0,0.0,0.0
32005075,ESCOLA MUNICIPAL COMUNITARIA AGROECOLOGICA FAZENDA LACERDA,Águia Branca,3,2,5.0,42.0,2.0
32000014,EP CORREGO DA JACUTINGA,Água Doce do Norte,3,2,0.0,0.0,0.0
32000022,EP FAZENDA JOAO NOHIA,Água Doce do Norte,3,2,0.0,0.0,0.0
32000030,EP SAO SEBASTIAO,Água Doce do Norte,3,2,0.0,0.0,0.0
32000049,EMCEIEF JOAO ANTONIO MOREIRA,Água Doce do Norte,3,2,3.0,10.0,1.0
32000057,EEEFM SEBASTIAO COIMBRA ELIZEU,Água Doce do Norte,2,1,0.0,0.0,0.0
32000073,EU ALTO SAO DOMINGOS,Água Doce do Norte,3,2,0.0,0.0,0.0
32000081,EU BARRA DA LAJINHA,Água Doce do Norte,3,2,0.0,0.0,0.0
32000090,EU BOM JESUS,Água Doce do Norte,3,2,0.0,0.0,0.0
32000103,EMUEF CORREGO DA PRATINHA,Água Doce do Norte,3,2,0.0,0.0,0.0
32000111,EU CORREGO DO HAVAI I,Água Doce do Norte,3,2,0.0,0.0,0.0
32000120,EU CORREGO DOS MARCIANOS,Água Doce do Norte,3,2,0.0,0.0,0.0
32000138,EU CORREGO SAO DOMINGOS,Água Doce do Norte,3,2,0.0,0.0,0.0
32000146,EU DOS DOMINGOS,Água Doce do Norte,3,2,0.0,0.0,0.0
32000154,EU FAZENDA DOS DOMINGOS,Água Doce do Norte,3,2,0.0,0.0,0.0
32000162,EU FAZENDA DOS INACIOS,Água Doce do Norte,3,2,0.0,0.0,0.0
32000170,EU MUL AGRIPINO JOSE DE MORAES,Água Doce do Norte,3,2,0.0,0.0,0.0
32000189,EU MUL ALICE GONCALVES OLIVEIRA,Água Doce do Norte,3,2,0.0,0.0,0.0
32000197,EU MUL CABECEIRA DE AGUA DOCE,Água Doce do Norte,3,2,0.0,0.0,0.0
32000200,EU MUL CORREGO CACHOEIRINHA,Água Doce do Norte,3,2,0.0,0.0,0.0
32000219,EU MUL FAZENDA LIRIO NUNES,Água Doce do Norte,3,2,0.0,0.0,0.0
32000227,EU PEDRA BRANCA,Água Doce do Norte,3,2,0.0,0.0,0.0
32000235,EU VEREADOR ALACY COSTA,Água Doce do Norte,3,2,0.0,0.0,0.0
32000243,CRECHE MUL P ADEVANI MARIA BATISTA,Água Doce do Norte,3,1,19.0,244.0,13.0
32000588,EMEIEF JOSE MARQUES DA ROCHA,Água Doce do Norte,3,1,3.0,15.0,1.0
32067178,EU CORREGO DO HAVAI II,Água Doce do Norte,3,2,0.0,0.0,0.0
32072830,CAEE JARDIM SOCIAL - PESTALOZZI,Água Doce do Norte,4,1,0.0,0.0,0.0
32074301,PE MUL AGUA DOCE DO NORTE,Água Doce do Norte,3,2,0.0,0.0,0.0
32075502,EMEIEF PROF NILSA ALVES FIGUEIRA,Água Doce do Norte,3,1,0.0,0.0,0.0
32000251,EP QUATRO ENCRUZILHADAS,Água Doce do Norte,3,2,0.0,0.0,0.0
32000260,EP SAGRADA FAMILIA,Água Doce do Norte,3,2,0.0,0.0,0.0
32000278,EMEIEF ADOLFO ROSA VIEIRA,Água Doce do Norte,3,1,4.0,45.0,2.0
32000286,EMEIEF SOARES DUTRA,Água Doce do Norte,3,1,3.0,21.0,1.0
32000294,EMUEF CABECEIRA CORREGO DO GARFO,Água Doce do Norte,3,2,0.0,0.0,0.0
32000308,EU CORREGO BEIJA FLOR,Água Doce do Norte,3,2,0.0,0.0,0.0
32000316,EU CORREGO DA CACHOEIRINHA,Água Doce do Norte,3,2,0.0,0.0,0.0
32000324,EU CORREGO DO CAFE,Água Doce do Norte,3,2,0.0,0.0,0.0
32000332,EU FAZENDA BOA FE,Água Doce do Norte,3,2,0.0,0.0,0.0
32000340,EU MUL LINDOLFO DOS SANTOS,Água Doce do Norte,3,2,0.0,0.0,0.0
32000359,EU MUL MONTES CLAROS,Água Doce do Norte,3,2,0.0,0.0,0.0
32000367,EU PLACA DO CORREGO BAIXO,Água Doce do Norte,3,2,0.0,0.0,0.0
32000375,EU SANTA ROSA,Água Doce do Norte,3,2,0.0,0.0,0.0
32000383,EU SAO JORGE,Água Doce do Norte,3,2,0.0,0.0,0.0
32000391,EU VISTA BELA,Água Doce do Norte,3,2,0.0,0.0,0.0
32000405,EMPPG ANIZIO FILISBINO TEIXEIRA,Água Doce do Norte,3,1,0.0,0.0,0.0
32000430,EMPEF CABECEIRA CORREGO AZUL,Água Doce do Norte,3,2,0.0,0.0,0.0
32000480,EEEFM OLEGARIO MARTINS,Água Doce do Norte,2,1,0.0,0.0,0.0
32000529,EMEIEF SANTA LUZIA DO AZUL,Água Doce do Norte,3,1,3.0,24.0,1.0
32000448,EP CAPELA DE SAO PEDRO,Água Doce do Norte,3,2,0.0,0.0,0.0
32000456,EP MUL SANTO AGOSTINHO,Água Doce do Norte,3,2,0.0,0.0,0.0
32000464,EMPEF PROF JOAO BATISTA,Água Doce do Norte,3,2,0.0,0.0,0.0
32000499,EEEFM DERMEVAL LEITE RIBEIRO,Água Doce do Norte,2,1,0.0,0.0,0.0
32000510,EMEIEF PROF MARIA VARGAS DA SILVA,Água Doce do Norte,3,1,5.0,50.0,3.0
32000537,EU CARMEM MIRANDA,Água Doce do Norte,3,2,0.0,0.0,0.0
32000545,EU CORREGO DOS ANGELICOS,Água Doce do Norte,3,2,0.0,0.0,0.0
32000553,EU CORREGO SANTA ROSA,Água Doce do Norte,3,2,0.0,0.0,0.0
32000561,EU MUL JUIZ DISTRITAL ONOFRE CALAIS,Água Doce do Norte,3,2,0.0,0.0,0.0
32000570,EU MUL PEDRA AZUL,Água Doce do Norte,3,2,0.0,0.0,0.0
32000596,EMEIEF VILA NELITA,Água Doce do Norte,3,1,3.0,17.0,1.0
32000618,EMPPG SEBASTIAO C SOUZA,Água Doce do Norte,3,2,0.0,0.0,0.0
32000626,EU BARRA BOM DESTINO,Água Doce do Norte,3,2,0.0,0.0,0.0
32000634,EU MUL ANTONIO ROAS HUEBRA,Água Doce do Norte,3,2,0.0,0.0,0.0
32000642,EU MUL CORREGO BOM DESTINO,Água Doce do Norte,3,2,0.0,0.0,0.0
32000650,EU PROF MARIA VARGAS SILVA,Água Doce do Norte,3,2,0.0,0.0,0.0
32061498,EPPG MUL SEBASTIAO COIMBRA ELIZEU,Água Doce do Norte,3,2,0.0,0.0,0.0
32061501,EU ANNA MARIA CARDOSO BOLZAN,Água Doce do Norte,3,2,0.0,0.0,0.0
32072821,EMPPG VILA NELITA,Água Doce do Norte,3,1,0.0,0.0,0.0
32045263,CEMEI FATINHA BARBOSA,Alegre,3,1,9.0,51.0,6.0
32045280,CEMEI TIO TEOTONIO BARBOSA,Alegre,3,1,13.0,107.0,14.0
32045298,CEMEI TEREZA FIOREZZI DE OLIVEIRA,Alegre,3,1,10.0,73.0,11.0
32045310,EMPEF SAO JOAO DO NORTE,Alegre,3,2,0.0,0.0,0.0
32045344,EMEF PROFESSOR LELLIS,Alegre,3,1,0.0,0.0,0.0
32045360,EEEFM PROFESSOR PEDRO SIMAO,Alegre,2,1,0.0,0.0,0.0
32045379,CEEFMTI ARISTEU AGUIAR,Alegre,2,1,0.0,0.0,0.0
32045425,CAEE FRANCISCO ARCON-APAE,Alegre,4,1,0.0,0.0,0.0
32045433,IESC JUNIOR,Alegre,4,1,8.0,60.0,5.0
32045450,EMUEF FAZENDA BOM VER,Alegre,3,2,0.0,7.0,0.0
32045484,EMUEF GUIDO MAURI,Alegre,3,2,0.0,9.0,0.0
32045565,EMUEF FELIZ LEMBRANCA,Alegre,3,2,0.0,2.0,0.0
32045662,IE SANTOS CARVALHEIRA,Alegre,4,1,0.0,0.0,0.0
32045670,EMEIF PROF DOMINGOS BRAVO REINOSO,Alegre,3,1,7.0,104.0,5.0
32045689,EMEIF RUTH ALICE,Alegre,3,1,11.0,223.0,12.0
32064390,CEMEI CARMEM PINTO NOGUEIRA DA GAMA,Alegre,3,1,12.0,81.0,11.0
32064420,CE ADELIA BARROZO BIFANO,Alegre,4,1,8.0,41.0,5.0
32066074,EMFA ZIOLITA MARIA DA SILVEIRA,Alegre,3,2,0.0,4.0,0.0
32075537,CEMEI MARIA GERALDA GUERRA JACCOUD,Alegre,3,1,12.0,65.0,7.0
32081081,COOPERATIVA EDUCACIONAL SUL CAPIXABA - COLEGIO INOVADOR,Alegre,4,1,4.0,20.0,3.0
32083106,CENTRO DE DESENVOLVIMENTO INFANTIL AQUARELA LTDA,Alegre,4,1,8.0,72.0,14.0
32045700,CEMEI PROF CANDIDA FILGUEIRAS,Alegre,3,1,8.0,72.0,13.0
32045719,EEEFM ANA MONTEIRO DE PAIVA,Alegre,2,1,0.0,0.0,0.0
32045867,EEEFM OSCAR DE ALMEIDA GAMA,Alegre,2,1,0.0,0.0,0.0
32045956,CEMEI PAULO AMOACY BRAGANCA,Alegre,3,1,12.0,47.0,5.0
32045980,EMFA GEORGE ABREU RANGEL,Alegre,3,2,3.0,13.0,1.0
32046022,EEEFM JOSE CORRENTE,Alegre,2,1,0.0,0.0,0.0
32046081,EMEIF MARIA DO CARMO TIRADENTES,Alegre,3,1,10.0,98.0,12.0
32046090,CIEC JACI KOBBI RODRIGUES,Alegre,3,1,5.0,83.0,4.0
32046103,EEEFM SIRENA REZENDE FONSECA,Alegre,2,1,0.0,0.0,0.0
32071299,CEMEI MARIA BITTENCOURT DA ROSA,Alegre,3,1,8.0,72.0,11.0
32046197,EEEFM PROFª CELIA TEIXEIRA DO CARMO,Alegre,2,1,0.0,0.0,0.0
32046219,IFES - CAMPUS DE ALEGRE,Alegre,1,1,0.0,0.0,0.0
32073593,CEMEI VANOR DO NASCIMENTO,Alegre,3,1,9.0,121.0,17.0
32046286,EMEF CARMELITA MACHADO MORAES,Alegre,3,1,3.0,36.0,2.0
32041691,EMUEF ALMERINDA BRUNORO,Alfredo Chaves,3,2,0.0,0.0,0.0
32041721,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL ANA ARAUJO,Alfredo Chaves,3,1,0.0,0.0,0.0
32041756,EEEFM CAMILA MOTTA,Alfredo Chaves,2,1,0.0,0.0,0.0
32041764,EPSG PIO XII,Alfredo Chaves,4,1,0.0,0.0,0.0
32041772,ESCOLA FAMILIA AGRICOLA DE ALFREDO CHAVES - MEPES,Alfredo Chaves,4,2,0.0,0.0,0.0
32041802,EEUEF BARRA DO BATATAL,Alfredo Chaves,2,2,0.0,0.0,0.0
32041810,EMUEF BOA VISTA,Alfredo Chaves,3,2,0.0,0.0,0.0
32041829,EEUEF GAVIAO,Alfredo Chaves,2,2,0.0,0.0,0.0
32041934,EEUEF SAO MARCOS,Alfredo Chaves,2,2,0.0,0.0,0.0
32041977,CMEI JOSE DE ANCHIETA,Alfredo Chaves,3,1,13.0,204.0,11.0
32041993,EMEI COMECINHO DE GENTE,Alfredo Chaves,3,1,7.0,67.0,7.0
32042035,EMEI PEQUERRUCHOS,Alfredo Chaves,3,1,12.0,167.0,14.0
32042060,CAEE BEIJINHO DOCE- PESTALOZZI,Alfredo Chaves,4,1,0.0,0.0,0.0
32074158,EMUEF CACO DO POTE,Alfredo Chaves,3,2,0.0,0.0,0.0
32041730,EMEF CELITA BASTOS GARCIA,Alfredo Chaves,3,2,0.0,0.0,0.0
32041748,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL CRUBIXA,Alfredo Chaves,3,1,0.0,0.0,0.0
32041861,EEUEF PIOMONTE,Alfredo Chaves,2,2,0.0,0.0,0.0
32041870,EMUEF QUARTO TERRITORIO,Alfredo Chaves,3,2,0.0,0.0,0.0
32041985,ESCOLA MUNICIPAL DE EDUCACAO INFANTIL BAMBINO,Alfredo Chaves,3,2,4.0,14.0,1.0
32077742,EMEI ARCO IRIS,Alfredo Chaves,3,2,3.0,7.0,1.0
32042078,EMEF ENGANO,Alfredo Chaves,3,1,0.0,0.0,0.0
32042094,EMUEF ASSUNTA,Alfredo Chaves,3,2,0.0,0.0,0.0
32042108,EMUEF IPE ACU,Alfredo Chaves,3,2,0.0,0.0,0.0
32042159,PE MUL PEQUENO POLEGAR,Alfredo Chaves,3,2,4.0,18.0,2.0
32042167,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL FELIPE MODOLO,Alfredo Chaves,3,1,0.0,0.0,0.0
32042175,EMUEF CAROLINA,Alfredo Chaves,3,2,0.0,0.0,0.0
32042256,EMUEF SAO ROQUE DE MARAVILHA,Alfredo Chaves,3,2,0.0,0.0,0.0
32042280,VILA NOVA MARAVILHA,Alfredo Chaves,3,2,0.0,0.0,0.0
32042299,ESCOLA MUNICIPAL DE ENSINO INFANTIL CHAPEUZINHO VERMELHO,Alfredo Chaves,3,2,5.0,41.0,3.0
32079001,PE MUL ALGODAO DOCE,Alfredo Chaves,3,2,1.0,12.0,1.0
32042345,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL FAZENDA APARECIDA,Alfredo Chaves,3,2,0.0,0.0,0.0
32042370,EMUEF SAO MARTINHO,Alfredo Chaves,3,2,0.0,0.0,0.0
32042388,EMUEF VILA NOVA DO RIBEIRAO,Alfredo Chaves,3,2,0.0,0.0,0.0
32042396,EMEI MUL GENTE MIUDA,Alfredo Chaves,3,2,3.0,21.0,1.0
32042019,PE MUL ESCOLINHA DA COMUNIDADE,Alfredo Chaves,3,2,0.0,0.0,0.0
32042400,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL SAGRADA FAMILIA,Alfredo Chaves,3,1,0.0,0.0,0.0
32042426,EMUEF INDEPENDENCIA,Alfredo Chaves,3,2,0.0,0.0,0.0
32042442,EEUEF RIO VEADO,Alfredo Chaves,2,2,0.0,0.0,0.0
32042450,CMEI INFANCIA FELIZ,Alfredo Chaves,3,2,6.0,32.0,3.0
32042485,EMUEF CORREGO FORTUNA,Alfredo Chaves,3,2,0.0,0.0,0.0
32042515,EMUEF SAO FRANCISCO DE URANIA,Alfredo Chaves,3,2,0.0,0.0,0.0
32042540,EMUEF SANTA LUZIA DE URANIA,Alfredo Chaves,3,2,0.0,0.0,0.0
32063458,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL SAO BENTO DE URANIA,Alfredo Chaves,3,1,0.0,0.0,0.0
32076002,PE MUL PEQUENO PRINCIPE,Alfredo Chaves,3,1,3.0,11.0,1.0
32008953,EPMEIEF ALTO CAPIM,Alto Rio Novo,3,2,1.0,7.0,1.0
32009003,EPMEIEF CORREGO SAO PAULO,Alto Rio Novo,3,2,1.0,7.0,1.0
32009020,EMEF GUSTAVO AMBRUST,Alto Rio Novo,3,1,0.0,0.0,0.0
32009038,EEEFM PASTOR ANTONIO NUNES DE CARVALHO,Alto Rio Novo,2,1,0.0,0.0,0.0
32009135,EUMEF CORREGO BEIJA-FLOR,Alto Rio Novo,3,2,0.0,0.0,0.0
32009216,EPMEF FAZENDA SANTO ANTONIO,Alto Rio Novo,3,2,0.0,0.0,0.0
32009259,EMEI ARMEZINA DO AMARAL RAMOS,Alto Rio Novo,3,1,5.0,107.0,5.0
32061790,CMEI MARIA VENANCIO AMORIM,Alto Rio Novo,3,1,10.0,169.0,14.0
32061803,CAEE CATARINA LUCIA ELER - PESTALOZZI,Alto Rio Novo,4,1,0.0,0.0,0.0
32124015,EMEFTI PROFESSOR ARTEME LOPES,Alto Rio Novo,3,1,0.0,0.0,0.0
32009011,EMEIEF VEREADOR RUBENS RAMIRO DA SILVA,Alto Rio Novo,3,1,2.0,22.0,2.0
32087608,CMEI GILDA AGGUM CAPETTINI,Alto Rio Novo,3,1,1.0,18.0,1.0
32009267,EMEIEFTI PROFª MARIA RODRIGUES DE FREITAS,Alto Rio Novo,3,1,2.0,27.0,2.0
32042558,EMEB AMARILIS FERNANDES GARCIA,Anchieta,3,1,0.0,0.0,0.0
32042566,EMEIEF GOEMBE,Anchieta,3,2,4.0,21.0,2.0
32042574,EMEIEF LAUROMAR POMPERMAYER PORTO,Anchieta,3,2,0.0,0.0,0.0
32042582,EMEIEF PROFESSORA MARIA LUIZA FLORES,Anchieta,3,1,0.0,0.0,0.0
32042590,EMEIEF ROSALINO SIMOES,Anchieta,3,2,3.0,9.0,1.0
32042612,EMEB ALCIDES CECCON,Anchieta,3,1,6.0,45.0,3.0
32042620,EMEB DULCINEA SILVA LYRIO RUPF,Anchieta,3,1,15.0,61.0,6.0
32042647,EEEFM CORONEL GOMES DE OLIVEIRA,Anchieta,2,1,0.0,0.0,0.0
32042655,EMEF MANOEL DE PAULA SERRAO,Anchieta,3,1,0.0,0.0,0.0
32042680,EMEIEF ESTHER SOARES DA TRINDADE SANTANA,Anchieta,3,1,7.0,48.0,4.0
32042698,EPSG MARIA MATTOS,Anchieta,4,1,0.0,0.0,0.0
32042701,EMEB MARIANA DA PURIFICACAO SIMOES,Anchieta,3,2,4.0,13.0,2.0
32042728,EEUEF CANELA,Anchieta,2,2,0.0,0.0,0.0
32042736,EMEIEF CORREGO DA PRATA,Anchieta,3,2,8.0,50.0,4.0
32042744,EMEIEF PROFESSORA EDMA MARIA MEZADRE MULINARI,Anchieta,3,2,4.0,25.0,3.0
32042779,EMEIEF ALIPIO PORTO DA SILVA,Anchieta,3,2,0.0,0.0,0.0
32042787,EMEF MATHEUS ERNESTO FRANCISCO,Anchieta,3,2,0.0,0.0,0.0
32042817,EMEIEF SAO MATEUS,Anchieta,3,2,5.0,29.0,2.0
32042841,CMEI BELMIRO ALBERTO ALPOIM,Anchieta,3,1,22.0,185.0,12.0
32042914,EMEIEF ELSON GARCIA,Anchieta,3,1,3.0,12.0,1.0
32042973,EMEB PROFESSORA PATRICIA FERNANDES ROFFES,Anchieta,3,1,14.0,108.0,8.0
32043023,CAEE - ANCHIETA - PESTALOZZI,Anchieta,4,1,0.0,0.0,0.0
32043031,EMEIEF ALTO JOEBA,Anchieta,3,2,0.0,0.0,0.0
32043066,EMEIEF ITAPEROROMA BAIXA,Anchieta,3,2,2.0,7.0,1.0
32043201,EMEIEF ITAJOBAIA,Anchieta,3,2,3.0,7.0,1.0
32043210,EMEIEF PROFESSORA ADY LYRIO MARCHEZI,Anchieta,3,2,4.0,13.0,2.0
32043252,EMEF OLIVANIA,Anchieta,3,2,3.0,8.0,1.0
32062346,EMEIEF PROFESSORA JOCELINA NOGUEIRA,Anchieta,3,1,39.0,470.0,31.0
32073267,EMEF IRMA TEREZINHA GODOY DE ALMEIDA,Anchieta,3,1,0.0,0.0,0.0
32074379,CENTRO DE EDUCACAO INFANTIL PINGO DE GENTE - MEPES,Anchieta,4,2,4.0,15.0,4.0
32074387,CENTRO DE EDUCACAO INFANTIL CRIANCA FELIZ - MEPES,Anchieta,4,1,0.0,0.0,0.0
32074409,CENTRO DE EDUCACAO INFANTIL FRANCISCO GIUSTI - MEPES,Anchieta,4,1,27.0,178.0,13.0
32074417,CMEI PADRE JOSE DE ANCHIETA,Anchieta,3,1,26.0,183.0,14.0
32078439,EMEIEF ESMERALDA MORACA,Anchieta,3,1,11.0,90.0,7.0
32078803,CRAAE - CENTRO DE REFER PARA APOIO E ATEND EDUCACIONAL,Anchieta,3,1,0.0,0.0,0.0
32079249,EMEIEF PROFESSORA GENELICE DOS REIS RAMOS HERMES,Anchieta,3,1,0.0,0.0,0.0
32079710,ESCOLA FAMILIA TURISMO PIETROGRANDE - MEPES,Anchieta,4,1,0.0,0.0,0.0
32079893,SENAI ES - CENTRO DE EDUCACAO PROFISSIONAL LUCAS IZOTON VIEIRA,Anchieta,4,1,0.0,0.0,0.0
32080743,EMEB JOSEFINA RAMOS NUNES - DONA MULATA,Anchieta,3,1,0.0,0.0,0.0
32082231,CEEMTI PAULO FREIRE,Anchieta,2,1,0.0,0.0,0.0
32082711,CEMEI SARA ALMEIDA LIMA,Anchieta,3,1,19.0,100.0,8.0
32098200,EMEF PROFESSOR TIO LILIU,Anchieta,3,1,0.0,0.0,0.0
32098413,CMEI ENIDE CORREA GUAITOLINI,Anchieta,3,1,20.0,130.0,10.0
32101600,CENTRO EDUCACIONAL ANCHIETA,Anchieta,4,1,0.0,0.0,0.0
32042639,EMEB TIA MARLENE PETRI,Anchieta,3,2,0.0,0.0,0.0
32043058,EMEIEF SIMPATIA,Anchieta,3,2,4.0,25.0,2.0
32043155,EMEB LIMEIRA,Anchieta,3,2,8.0,44.0,4.0
32043171,ESCOLA FAMILIA AGRICOLA DE OLIVANIA - MEPES,Anchieta,4,2,0.0,0.0,0.0
32067496,EMEIEFM PROFª ZULEIKA FLORES DA PURIFICACAO,Anchieta,3,2,4.0,18.0,1.0
32074395,CENTRO DE EDUCACAO INFANTIL XODO DAS TITIAS - MEPES,Anchieta,4,2,8.0,33.0,3.0
32080476,EMEB DUAS BARRAS,Anchieta,3,2,7.0,46.0,4.0
32050984,EEEFM CANDIDA POVOA,Apiacá,2,1,0.0,0.0,0.0
32051115,EMPEF BARRO BRANCO,Apiacá,3,2,0.0,0.0,0.0
32051158,EM WALDIR MONTEIRO DE BARROS,Apiacá,3,2,2.0,26.0,2.0
32056559,EMUEF LIMAO,Apiacá,3,2,0.0,0.0,0.0
32065795,EM MARIA DE LOURDES ALVES,Apiacá,3,1,0.0,0.0,0.0
